Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Währung Nettobetrag;Nettobetrag in der Währung des Kontos;Saldo;Währung
03-11-2020 17:11:48;77175469;Kauf;VWRL;Vanguard All World ETF Dist;IE00B3RBWM25;6.0;85.69;12.60;0.00;-526.75;CHF;-526.75;-306.33;CHF
03-11-2020 17:08:26;00000000;Forex-Gutschrift;;;;1.0;13'568.33;0.00;0.00;13'568.33;USD;13'568.33;650.99;USD
03-11-2020 17:08:26;00000000;Forex-Belastung;;;;1.0;12'500.00;0.00;0.00;-12'500.00;CHF;-12'500.00;220.42;CHF
03-11-2020 17:07:25;77175231;Kauf;BABA;ALIBABA GROUP HOLDING ADR REP;US01609W1027;30.0;292.3599;44.01;0.00;-8'814.81;USD;-8'814.81;-12'917.34;USD
03-11-2020 16:56:04;00000000;Buy;XBT;XBT;EX0X00XBT000;0.3;13'727.44;41.18;0.00;-4'159.41;USD;-4'159.41;-4'102.53;USD
02-11-2020 08:16:26;00000000;Vergütung;;;;1.0;12'500.00;0.00;0.00;12'500.00;CHF;12'500.00;12'720.42;CHF
16-10-2020 14:50:05;00000000;Dividende;TSM;TAIWAN SEMICONDUCTOR MNFTG ADR;US8740391003;1.0;53.51;11.24;0.00;42.27;USD;42.27;56.88;USD
12-10-2020 20:18:11;00000000;Forex-Gutschrift;;;;1.0;107.82;0.00;0.00;107.82;USD;107.82;14.61;USD
12-10-2020 20:18:11;00000000;Forex-Belastung;;;;1.0;99.00;0.00;0.00;-99.00;CHF;-99.00;220.42;CHF
12-10-2020 20:17:31;76494646;Kauf;BLV;VANGUARD LONG TERM BOND ETF;US9219377937;5.0;111.45;25.84;0.00;-583.09;USD;-583.09;-93.21;USD
12-10-2020 20:16:39;76494634;Verkauf;PLTR;PALANTIR TECHNOLOGIES CL A ORD;US69608A1088;46.0;9.94;16.55;0.00;440.69;USD;440.69;489.88;USD
12-10-2020 17:50:14;00000000;Forex-Gutschrift;;;;1.0;2'940.17;0.00;0.00;2'940.17;USD;2'940.17;49.19;USD
12-10-2020 17:50:14;00000000;Forex-Belastung;;;;1.0;2'700.00;0.00;0.00;-2'700.00;CHF;-2'700.00;319.42;CHF
12-10-2020 17:48:31;00000000;Buy;XBT;XBT;EX0X00XBT000;0.25;11'556.20;28.89;0.00;-2'917.94;USD;-2'917.94;-2'890.98;USD
09-10-2020 16:32:05;00000000;Forex-Gutschrift;;;;1.0;1'303.20;0.00;0.00;1'303.20;USD;1'303.20;26.96;USD
09-10-2020 16:32:05;00000000;Forex-Belastung;;;;1.0;1'200.00;0.00;0.00;-1'200.00;CHF;-1'200.00;3'019.42;CHF
09-10-2020 15:30:00;76389808;Kauf;BLV;VANGUARD LONG TERM BOND ETF;US9219377937;13.0;110.53;28.01;0.00;-1'464.90;USD;-1'464.90;-1'276.24;USD
09-10-2020 09:07:28;00000000;Vergütung;;;;1.0;4'000.00;0.00;0.00;4'000.00;CHF;4'000.00;4'219.42;CHF
09-10-2020 07:02:35;00000000;Dividende;VWRL;Vanguard All World ETF Dist;IE00B3RBWM25;1.0;44.10;0.00;0.00;44.10;USD;44.10;188.66;USD
07-10-2020 18:16:23;00000000;Dividende;VFEM;Vanguard EM ETF Dist;IE00B3VVMM84;1.0;121.45;0.00;0.00;121.45;USD;121.45;144.56;USD
06-10-2020 12:06:48;00000000;Dividende;BLV;VANGUARD LONG TERM BOND ETF;US9219377937;1.0;19.92;5.98;0.00;13.94;USD;13.94;23.11;USD
01-10-2020 16:07:33;00000000;Forex-Gutschrift;;;;1.0;344.89;0.00;0.00;344.89;USD;344.89;9.17;USD
01-10-2020 16:07:33;00000000;Forex-Belastung;;;;1.0;320.00;0.00;0.00;-320.00;CHF;-320.00;219.42;CHF
01-10-2020 16:06:59;00000000;Forex-Gutschrift;;;;1.0;320.44;0.00;0.00;320.44;CHF;320.44;539.42;CHF
01-10-2020 16:06:59;00000000;Forex-Belastung;;;;1.0;300.00;0.00;0.00;-300.00;EUR;-300.00;1.30;EUR
01-10-2020 16:06:39;00000000;Forex-Gutschrift;;;;1.0;301.30;0.00;0.00;301.30;EUR;301.30;301.30;EUR
01-10-2020 16:06:39;00000000;Forex-Belastung;;;;1.0;328.00;0.00;0.00;-328.00;CHF;-328.00;218.98;CHF
01-10-2020 15:30:33;76161295;Kauf;PLTR;PALANTIR TECHNOLOGIES CL A ORD;US69608A1088;46.0;9.70;15.67;0.00;-461.87;USD;-461.87;-335.72;USD
30-09-2020 13:52:38;00000000;Dividende;VTI;VANGUARD TOTAL STOCK MARKET ET;US9229087690;1.0;82.24;24.67;0.00;57.57;USD;57.57;126.15;USD
30-09-2020 12:33:59;00000000;Depotgebühren;;;;1.0;32.64;2.51;0.00;-35.15;CHF;-35.15;546.98;CHF
30-09-2020 11:41:24;00000000;Dividende;SMMCHA;UBSETF SMIM CHF DIS;CH0111762537;1.0;420.20;147.07;0.00;273.13;CHF;273.13;582.13;CHF
30-09-2020 08:27:34;00000000;Capital Gain;SMMCHA;UBSETF SMIM CHF DIS;CH0111762537;1.0;88.00;0.00;0.00;88.00;CHF;88.00;309.00;CHF
24-09-2020 18:28:07;00000000;Forex-Gutschrift;;;;1.0;508.14;0.00;0.00;508.14;USD;508.14;68.58;USD
24-09-2020 18:28:07;00000000;Forex-Belastung;;;;1.0;475.00;0.00;0.00;-475.00;CHF;-475.00;221.00;CHF
24-09-2020 18:27:49;75908002;Kauf;AAPL;APPLE ORD;US0378331005;4.0;109.80;16.51;0.00;-455.71;USD;-455.71;-439.56;USD
23-09-2020 12:46:31;00000000;Forex-Gutschrift;;;;1.0;21.53;0.00;0.00;21.53;USD;21.53;16.15;USD
23-09-2020 12:46:31;00000000;Forex-Belastung;;;;1.0;20.00;0.00;0.00;-20.00;CHF;-20.00;696.00;CHF
23-09-2020 12:05:32;00000000;Vergütung;;;;1.0;500.00;0.00;0.00;500.00;CHF;500.00;716.00;CHF
18-09-2020 11:42:17;00000000;Dividende;WM;WASTE MANAGEMENT ORD;US94106L1098;1.0;23.98;7.19;0.00;16.79;USD;16.79;-5.38;USD
15-09-2020 22:17:07;00000000;Fx-Gutschrift Comp.;;;;1.0;2.93;0.00;0.00;2.93;USD;2.93;-22.17;USD
15-09-2020 22:17:07;00000000;Fx-Belastung Comp.;;;;1.0;2.69;0.00;0.00;-2.69;CHF;-2.69;216.00;CHF
15-09-2020 22:17:07;00000000;Fx-Gutschrift Comp.;;;;1.0;9.94;0.00;0.00;9.94;USD;9.94;-25.10;USD
15-09-2020 22:17:07;00000000;Fx-Belastung Comp.;;;;1.0;8.47;0.00;0.00;-8.47;EUR;-8.47;0.00;EUR
15-09-2020 15:54:25;00000000;Forex-Gutschrift;;;;1.0;5'404.72;0.00;0.00;5'404.72;USD;5'404.72;-35.04;USD
15-09-2020 15:54:25;00000000;Forex-Belastung;;;;1.0;4'600.00;0.00;0.00;-4'600.00;EUR;-4'600.00;8.47;EUR
15-09-2020 15:31:19;75450181;Kauf;AAPL;APPLE ORD;US0378331005;41.0;118.00;12.25;0.00;-4'850.25;USD;-4'850.25;-5'439.76;USD
15-09-2020 15:31:19;75450181;Kauf;AAPL;APPLE ORD;US0378331005;5.0;118.00;25.89;0.00;-615.89;USD;-615.89;-589.51;USD
15-09-2020 10:18:58;75450898;Verkauf;ASML;ASML HOLDING ORD;NL0010273215;8.0;309.75;3.72;0.00;2'474.28;EUR;2'474.28;4'608.47;EUR
15-09-2020 10:18:58;75450898;Verkauf;ASML;ASML HOLDING ORD;NL0010273215;7.0;309.75;34.10;0.00;2'134.15;EUR;2'134.15;2'134.19;EUR
10-09-2020 18:52:23;75359121;Verkauf;MSFT;MICROSOFT ORD;US5949181045;1.0;208.95;16.17;0.00;192.78;USD;192.78;26.38;USD
10-09-2020 18:50:36;00000000;Forex-Gutschrift;;;;1.0;1'640.25;0.00;0.00;1'640.25;USD;1'640.25;-166.40;USD
10-09-2020 18:50:36;00000000;Forex-Belastung;;;;1.0;1'505.00;0.00;0.00;-1'505.00;CHF;-1'505.00;218.69;CHF
10-09-2020 18:50:20;00000000;Forex-Gutschrift;;;;1.0;12'101.19;0.00;0.00;12'101.19;USD;12'101.19;-1'806.65;USD
10-09-2020 18:50:20;00000000;Forex-Belastung;;;;1.0;10'310.00;0.00;0.00;-10'310.00;EUR;-10'310.00;0.04;EUR
10-09-2020 16:22:24;75351980;Kauf;TSM;TAIWAN SEMICONDUCTOR MNFTG ADR;US8740391003;76.0;80.84;39.22;0.00;-6'183.06;USD;-6'183.06;-13'907.84;USD
10-09-2020 16:18:49;75351500;Kauf;FCAU;FIAT CHRYSLER AUTOMOBILES ORD;NL0010877643;411.0;11.89;12.33;0.00;-4'899.12;USD;-4'899.12;-7'724.78;USD
10-09-2020 16:18:49;75351500;Kauf;FCAU;FIAT CHRYSLER AUTOMOBILES ORD;NL0010877643;1.0;11.89;0.02;0.00;-11.91;USD;-11.91;-2'825.66;USD
10-09-2020 16:18:49;75351500;Kauf;FCAU;FIAT CHRYSLER AUTOMOBILES ORD;NL0010877643;100.0;11.885;27.63;0.00;-1'216.13;USD;-1'216.13;-2'813.75;USD
10-09-2020 16:16:47;75351426;Verkauf;XDJP;X NIKKEI 225 ETF;LU0839027447;547.0;18.98;72.02;0.00;10'310.04;EUR;10'310.04;10'310.04;EUR
10-09-2020 16:07:52;75350919;Kauf;BLV;VANGUARD LONG TERM BOND ETF;US9219377937;16.0;111.99;28.54;0.00;-1'820.38;USD;-1'820.38;-1'597.62;USD
10-09-2020 12:05:52;00000000;Dividende;MSFT;MICROSOFT ORD;US5949181045;1.0;30.09;9.03;0.00;21.06;USD;21.06;222.76;USD
10-09-2020 01:15:31;00000000;Vergütung;;;;1.0;1'500.00;0.00;0.00;1'500.00;CHF;1'500.00;1'723.69;CHF
09-09-2020 19:27:12;75325678;Kauf;VTI;VANGUARD TOTAL STOCK MARKET ET;US9229087690;54.0;172.80;44.85;0.00;-9'376.05;USD;-9'376.05;201.70;USD
09-09-2020 19:25:54;75325895;Verkauf;AXP;AMERICAN EXPRESS ORD;US0258161092;91.0;104.39;20.94;0.00;9'478.55;USD;9'478.55;9'577.75;USD
09-09-2020 19:24:16;75325646;Kauf;BLV;VANGUARD LONG TERM BOND ETF;US9219377937;44.0;112.27;8.26;0.00;-4'948.14;USD;-4'948.14;99.20;USD
09-09-2020 19:23:04;75325628;Verkauf;WM;WASTE MANAGEMENT ORD;US94106L1098;44.0;112.33;8.37;0.00;4'934.15;USD;4'934.15;5'047.34;USD
08-09-2020 16:51:12;00000000;Forex-Gutschrift;;;;1.0;1'662.19;0.00;0.00;1'662.19;USD;1'662.19;113.19;USD
08-09-2020 16:51:12;00000000;Forex-Belastung;;;;1.0;1'540.00;0.00;0.00;-1'540.00;CHF;-1'540.00;223.69;CHF
08-09-2020 15:30:01;75179524;Kauf;BLV;VANGUARD LONG TERM BOND ETF;US9219377937;14.0;112.37;3.21;0.00;-1'576.39;USD;-1'576.39;-1'549.00;USD
07-09-2020 07:55:39;00000000;Vergütung;;;;1.0;1'500.00;0.00;0.00;1'500.00;CHF;1'500.00;1'763.69;CHF
10-08-2020 12:14:23;00000000;Dividende;AXP;AMERICAN EXPRESS ORD;US0258161092;1.0;39.13;11.74;0.00;27.39;USD;27.39;27.39;USD
07-08-2020 22:17:46;00000000;Fx-Gutschrift Comp.;;;;1.0;3'824.73;0.00;0.00;3'824.73;USD;3'824.73;0.00;USD
